name,network,location,x,y,z,coord_system,x_utm,y_utm,coord_system_utm,description
DUBA,MSSNet,00,16.0457,47.859,582.0,epsg:4326,578216.4071638723,5301158.131760679,epsg:32633,Steinbruch D��ach
WAPE,MSSNet,00,16.064,47.8634,414.0,epsg:4326,579578.4629008633,5301665.841318176,epsg:32633,Waldegg Peisching Zehetner
HOWA,MSSNet,00,16.0792,47.8505,825.0,epsg:4326,580735.3107410673,5300247.8893580055,epsg:32633,Hohe Wand Hnoisky
HOPO,MSSNet,00,16.0456,47.8328,900.0,epsg:4326,578248.3265027056,5298246.135348549,epsg:32633,Hohe Wand GH Postl
MIBA,MSSNet,00,15.9825,47.8399,477.0,epsg:4326,573516.2023533834,5298973.28629429,epsg:32633,GM Miesenbach
WADE,MSSNet,00,16.0477,47.869,392.0,epsg:4326,578350.9294144214,5302271.572089217,epsg:32633,Volksschule Waldegg
WNEU,MSSNet,00,16.2346,47.8232,265.0,epsg:4326,592409.1397162715,5297387.81936818,epsg:32633,HTL Wiener Neustadt
ERLA,MSSNet,00,16.2146,47.728,312.0,epsg:4326,591078.2901373061,5286783.662855217,epsg:32633,GM Bad Erlach
PITT,MSSNet,00,16.1864,47.7161,330.0,epsg:4326,588983.9718795505,5285428.328548914,epsg:32633,GM Pitten
BAFI,MSSNet,00,16.167,47.8316,288.0,epsg:4326,587335.2918231883,5298242.800734537,epsg:32633,GM Bad Fischau-Brunn
MAPI,MSSNet,00,16.1287,47.873,349.0,epsg:4326,584401.8422684832,5302801.4671260975,epsg:32633,GM Markt Piesting
GRBA,MSSNet,00,15.9888,47.7965,557.0,epsg:4326,574049.2902424531,5294155.791487538,epsg:32633,GM Gruenbach
PENI,MSSNet,00,15.9583,47.8989,430.0,epsg:4326,571624.0936635359,5305507.915087876,epsg:32633,GM Pernitz
OTTA,MSSNet,00,15.9393,47.6225,639.0,epsg:4326,570576.9048615899,5274771.432148718,epsg:32633,GM Otterthal
TENI,MSSNet,00,16.0194,47.7068,400.0,epsg:4326,576472.151710561,5284216.343135119,epsg:32633,GM Ternitz
KADO,MSSNet,00,16.2703,47.7814,277.0,epsg:4326,595157.5399489849,5292785.487084668,epsg:32633,GM Katzelsdorf
NEKI,MSSNet,00,16.0816,47.7207,370.0,epsg:4326,581116.5714491892,5285824.456397738,epsg:32633,GM Neunkirchen
GLOG,MSSNet,00,15.9353,47.6748,450.0,epsg:4326,570206.2283326868,5280580.299566864,epsg:32633,GM Gloggnitz
PABA,MSSNet,00,15.863,47.6919,480.0,epsg:4326,564758.0597438483,5282417.796465619,epsg:32633,GM Neunkirchen Payerbach
PUBE,MSSNet,00,15.9134,47.7895,585.0,epsg:4326,568411.9677933151,5293308.369253429,epsg:32633,GM Puchberg
HOFL,MSSNet,00,16.0317,47.8015,498.0,epsg:4326,577254.5409189992,5294753.458382477,epsg:32633,GM Hoeflein
WEIK,MSSNet,00,16.1431,47.8057,307.0,epsg:4326,585589.2623933734,5295337.542055625,epsg:32633,GM Weikersdorf
GRIM,MSSNet,00,16.1259,47.6167,410.0,epsg:4326,584606.8209625317,5274313.522294783,epsg:32633,GM Neunkirchen Grimmenstein
ASPA,MSSNet,00,16.0904,47.5547,536.0,epsg:4326,582035.9943095654,5267384.975169184,epsg:32633,GM Neunkirchen Aspang
WADU,MSSNet,00,16.045,47.8646,401.0,epsg:4326,578155.6305635712,5301779.8148543285,epsg:32633,Waldegg - D��achtal
RETA,MSSNet,00,16.0095,47.8778,401.0,epsg:4326,575481.4381819755,5303211.58117416,epsg:32633,GM Neunkirchen Reichental
ZIDO,MSSNet,00,16.3261,47.8538,241.0,epsg:4326,599199.39360972,5300902.1314311,epsg:32633,GM Zillingdorf
SOLL,MSSNet,00,16.2507,47.8972,270.0,epsg:4326,593481.0537129999,5305631.589520968,epsg:32633,GM Sollenau
PODO,MSSNet,00,16.3953,47.907,217.0,epsg:4326,604269.0025566213,5306905.957290665,epsg:32633,GM Pottendorf
EBDO,MSSNet,00,16.3994,47.9627,202.0,epsg:4326,604463.1140382967,5313102.069617969,epsg:32633,GM Ebreichsdorf
HOLB,MSSNet,00,16.5788,47.9438,221.0,epsg:4326,617897.7225440707,5311260.065543591,epsg:32633,GM Hof am Leithaberge
BRUK,MSSNet,00,16.7795,48.0255,158.0,epsg:4326,632675.046340275,5320666.413660792,epsg:32633,GM Bruck a.d. Leitha
MUDO,MSSNet,00,16.3771,48.0262,186.0,epsg:4326,602672.41419241,5320129.652062716,epsg:32633,GM M��endorf
PFAF,MSSNet,00,16.2642,48.0126,216.0,epsg:4326,594279.8767840723,5318473.833945802,epsg:32633,GM Pfaffst嵴en
SWAD,MSSNet,00,16.5813,48.0696,165.0,epsg:4326,617797.5407951917,5325245.501116028,epsg:32633,GM Schwadorf
ALLA,MSSNet,00,16.0783,48.0576,330.0,epsg:4326,580346.2534866808,5323264.654699078,epsg:32633,GM Alland
ALMA,MSSNet,00,15.9937,48.0157,398.0,epsg:4326,574102.6729448722,5318522.897505325,epsg:32633,GM Altenmarkt
BAVO,MSSNet,00,16.2154,47.9654,254.0,epsg:4326,590723.2871567813,5313169.338869534,epsg:32633,GM Bad V��u
EBGA,MSSNet,00,16.5203,48.0468,177.0,epsg:4326,613303.541026355,5322619.921430555,epsg:32633,GM Ebergassing
MODL,MSSNet,00,16.2985,48.0787,213.0,epsg:4326,596713.9718776352,5325862.962364982,epsg:32633,GM M��ng Wirtschaftshof
OBWA,MSSNet,00,16.3163,47.9691,219.0,epsg:4326,598247.7986846941,5313704.174329213,epsg:32633,GM Oberwaltersdorf
WOPF,MSSNet,00,16.0831,47.8732,369.0,epsg:4326,580991.6982809049,5302774.876824798,epsg:32633,Wopfing
KAGE,MSSNet,00,16.2011,48.1176,335.0,epsg:4326,589392.1415035612,5330068.749077814,epsg:32633,Zivilschutz Kaltenleutgeben
POST,MSSNet,00,16.0973,47.9587,327.0,epsg:4326,581918.4457179434,5312292.518467965,epsg:32633,GM Pottenstein
SEDO,MSSNet,00,16.5093,47.9771,184.0,epsg:4326,612635.4750310105,5314857.196516186,epsg:32633,Seibersdorf
MADO,MSSNet,00,16.6042,47.9746,198.0,epsg:4326,619723.2329891608,5314722.324242395,epsg:32633,GM Mannersdorf
